,State/Province,Postcode,Store Number,City,Country,Population,Median Age,Household Income,Per Capita Income,Latitude,Longitude,Poverty Count,Race White,Race African American,Race American Indian,Race Asian,Race Pacific Islander,Race Two or More,ageCategory,ageBinned,householdCategory,householdBinned
120,AZ,85020.0,1,Phoenix,US,32670.0,43.3,46596.0,30253.0,33.54,-112.06,6499.0,28358.0,1348.0,356.0,823.0,25.0,1374.0,3,"(35, 55]",1,"(0, 60000]"
121,AZ,85021.0,2,Phoenix,US,38994.0,33.4,36190.0,25225.0,33.55,-112.1,12025.0,29936.0,3277.0,1374.0,1533.0,151.0,2483.0,2,"(18, 35]",1,"(0, 60000]"
122,AZ,85022.0,7,Phoenix,US,49112.0,38.9,46475.0,28430.0,33.64,-112.05,8464.0,41399.0,2072.0,711.0,1349.0,53.0,3180.0,3,"(35, 55]",1,"(0, 60000]"
123,AZ,85023.0,1,Phoenix,US,31995.0,35.4,48935.0,27064.0,33.61,-112.1,5059.0,26646.0,1182.0,723.0,1181.0,49.0,1605.0,2,"(35, 55]",1,"(0, 60000]"
124,AZ,85026.0,1,Phoenix,US,0.0,0.0,0.0,0.0,33.44,-112.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1,
125,AZ,85027.0,3,Phoenix,US,35834.0,34.9,51332.0,26253.0,33.67,-112.12,4500.0,28997.0,1622.0,434.0,2505.0,207.0,2194.0,2,"(18, 35]",2,"(0, 60000]"
126,AZ,85028.0,3,Phoenix,US,19000.0,48.6,89010.0,46323.0,33.58,-111.98,768.0,17779.0,334.0,10.0,434.0,0.0,505.0,3,"(35, 55]",2,"(60000, 120000]"
127,AZ,85029.0,2,Phoenix,US,44964.0,35.2,41385.0,20561.0,33.6,-112.13,8883.0,36807.0,2517.0,670.0,1164.0,84.0,2629.0,2,"(35, 55]",1,"(0, 60000]"
128,AZ,85032.0,11,Phoenix,US,72222.0,35.2,48036.0,24122.0,33.65,-111.98,13299.0,59857.0,2611.0,392.0,2547.0,51.0,4532.0,2,"(35, 55]",1,"(0, 60000]"
129,AZ,85033.0,1,Phoenix,US,61118.0,25.9,33662.0,11046.0,33.51,-112.24,21730.0,40605.0,3442.0,804.0,373.0,166.0,2151.0,2,"(18, 35]",1,"(0, 60000]"
130,AZ,85034.0,4,Phoenix,US,4171.0,27.8,21488.0,11867.0,33.44,-112.0,2207.0,1793.0,507.0,189.0,51.0,0.0,126.0,2,"(18, 35]",1,"(0, 60000]"
131,AZ,85035.0,2,Phoenix,US,55354.0,24.2,31803.0,10959.0,33.48,-112.22,21141.0,36951.0,2783.0,1702.0,279.0,133.0,2074.0,2,"(18, 35]",1,"(0, 60000]"
