State,City,Postcode,State Population Rank,Household Income,Median Age,Population,Race White,Starbucks Count
VT,MILTON,05468,51,72377,40.2,13180,12722,8
MA,EAST BROOKFIELD,01515,23,72375,43.7,2198,2154,273
NE,EAGLE,68347,38,72364,37.2,2329,2303,58
VA,FOREST,24551,9,72354,42.3,22966,20570,432
OK,NORMAN,73026,35,72352,45.9,10841,9248,79
IN,LAMAR,47550,16,72344,38.6,929,830,221
IL,ALBERS,62215,5,72330,36,1731,1602,575
IL,GRANT PARK,60940,5,72330,39.2,3605,3509,575
NY,ROUND LAKE,12151,4,72321,49.1,762,725,645
MI,ROMEO,48065,14,72308,44.2,11007,10166,283
IA,MINDEN,51553,32,72303,43.2,1042,1038,89
RI,LINCOLN,02865,50,72301,42.5,16513,15052,27
SC,FOLLY BEACH,29439,25,72298,42.1,2312,2201,131
UT,MOUNT CARMEL,84755,27,72292,54.2,75,70,101
NE,ROYAL,68773,38,72292,47,168,165,58
ND,LUVERNE,58056,49,72292,47.4,212,212,13
SD,CHANCELLOR,57015,43,72273,43.8,793,730,25
WY,BANNER,82832,44,72273,37.6,880,880,23
KS,WAKARUSA,66546,29,72270,52.1,1085,1044,94
VA,MC GAHEYSVILLE,22840,9,72270,42.1,4852,4634,432
PA,WYNCOTE,19095,11,72262,43,7422,3854,357
MA,NORTH OXFORD,01537,23,72258,36,2444,2167,273
CA,KNIGHTSEN,94548,1,72250,43.8,373,373,2821
NY,ANCRAM,12502,4,72250,51.9,1147,1035,645
SD,MELLETTE,57461,43,72250,48.7,360,360,25
MN,MADISON LAKE,56063,20,72228,45.6,2747,2703,184
TX,CRAWFORD,76638,2,72214,43.2,2907,2799,1042
IL,OSCO,61274,5,72212,52.7,227,227,575
WI,LITTLE SUAMICO,54141,22,72188,37.6,2638,2509,145
MD,BURKITTSVILLE,21718,15,72188,47.5,150,149,257
CO,IDLEDALE,80453,13,72188,43.8,282,282,481
NJ,SOUTH BOUND BROOK,08880,18,72180,37,4612,3347,261
IN,GEORGETOWN,47122,16,72163,39.4,10521,10217,221
NH,TEMPLE,03084,46,72143,48.7,1489,1466,29
IL,MACKINAW,61755,5,72143,40.9,4768,4717,575
NE,FIRTH,68358,38,72143,39.2,1815,1801,58
FL,ORLANDO,32836,3,72143,35.8,18351,11147,694
NJ,ROOSEVELT,08555,18,72143,40.6,798,700,261
WI,BELGIUM,53004,22,72143,38.1,3371,3160,145
IA,SILVER CITY,51571,32,72143,42,550,546,89
IL,WILLOW SPRINGS,60480,5,72131,45.1,5171,4544,575
VT,WAITSFIELD,05673,51,72120,47.4,2451,2344,8
WI,SUAMICO,54173,22,72115,42,4044,4031,145
NH,GILMANTON,03237,46,72115,54.1,2046,1988,29
PA,STURGEON,15082,11,72109,38.5,131,131,357
WI,PICKETT,54964,22,72083,43,1099,1073,145
ND,AMIDON,58620,49,72083,47.9,139,139,13
CT,BRANFORD,06405,30,72072,48.2,27905,25854,123
PA,TELFORD,18969,11,72065,41.7,15361,13662,357
NH,WARNER,03278,46,72065,44.4,2912,2858,29
NE,FUNK,68940,38,72054,40.3,647,628,58
MA,AYER,01432,23,72048,40.7,7489,6622,273
NE,EMMET,68734,38,72045,39.2,127,103,58
WA,SILVER CREEK,98585,6,72031,43.3,845,814,757
