State/Province,Postcode,Starbucks Count,City,Country,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Cafe Count
AZ,86301,4,Prescott,US,34.6,-112.43,21412,53.2,46164,26148,3
AZ,86303,1,Prescott,US,34.53,-112.47,17269,57.4,45865,31955,10
AZ,86305,2,Prescott,US,34.56,-112.48,18064,57.4,56604,32607,10
AZ,86314,3,Prescott Valley,US,34.59,-112.33,36382,37.8,39784,19435,4
AZ,86322,2,Camp Verde,US,34.58,-111.86,11534,48.3,34766,19266,3
AZ,86323,1,Chino Valley,US,34.76,-112.45,15920,50.7,43886,22441,2
AZ,86326,1,Cottonwood,US,34.73,-112.01,24649,47.5,40409,21454,11
AZ,86336,4,Sedona,US,34.87,-111.76,11378,57.9,55114,43180,11
AZ,86401,1,Kingman,US,35.21,-114.04,25177,45.6,44755,23777,3
AZ,86403,3,Lake Havasu City,US,34.48,-114.32,16767,45.8,37267,21197,5
AZ,86406,1,Lake Havasu City,US,34.46,-114.28,23234,53.3,47077,26720,1
AZ,86409,2,Kingman,US,35.24,-114.04,26082,46.7,32957,18644,2
AZ,86426,2,Fort Mohave,US,35.02,-114.6,13351,49.3,42775,23736,2
AZ,86442,2,Bullhead City,US,35.12,-114.59,33010,49.7,34505,20527,2
CA,90001,2,Los Angeles,US,33.99,-118.25,57227,28.0,33887,11072,6
CA,90004,1,Los Angeles,US,34.07,-118.32,64008,35.7,40612,27207,34
CA,90007,3,Los Angeles,US,34.03,-118.28,43426,24.2,22304,10804,14
CA,90010,3,Los Angeles,US,34.06,-118.29,3740,38.8,45786,38078,52
CA,90012,7,Los Angeles,US,34.06,-118.24,30860,36.8,31576,20388,55
CA,90013,2,Los Angeles,US,34.05,-118.25,11299,42.8,19887,32937,55
CA,90014,2,Los Angeles,US,34.05,-118.25,7006,42.7,23642,35955,55
CA,90015,5,Los Angeles,US,34.05,-118.25,18767,32.8,29684,24367,55
CA,90016,4,Los Angeles,US,34.03,-118.33,47590,35.2,38330,20224,11
CA,90017,4,Los Angeles,US,34.06,-118.26,24336,30.6,22754,18789,53
CA,90018,1,Los Angeles,US,34.04,-118.33,49824,34.3,33864,16489,22
CA,90019,2,Los Angeles,US,34.05,-118.34,67553,37.6,46571,28391,30
CA,90020,1,Los Angeles,US,34.07,-118.29,39866,34.5,38849,27456,54
CA,90021,1,Los Angeles,US,34.03,-118.24,2970,45.4,12813,22769,55
CA,90022,1,Commerce,US,34.02,-118.15,68136,31.6,37916,13450,14
